temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
31.94,58,995,2.06,130,394.23,0.03,2.2,101.98,2.29,68.26,184.07,25.03,4,158.0,115.0,158.0,Multan,30.1575,71.5249
33.94,52,995,2.06,130,400.84,0.16,2.53,99.3,2.18,68.34,192.95,24.1,4,158.0,120.0,158.0,Multan,30.1575,71.5249
35.94,44,995,3.09,180,397.89,0.23,2.18,103.95,2.08,68.66,203.97,22.14,5,158.0,125.0,158.0,Multan,30.1575,71.5249
36.94,41,995,4.12,180,386.15,0.2,1.71,110.61,1.96,69.13,212.81,21.18,5,158.0,130.0,158.0,Multan,30.1575,71.5249
38.94,39,994,4.12,180,373.66,0.17,1.38,117.7,1.86,71.01,222.03,20.87,5,159.0,134.0,159.0,Multan,30.1575,71.5249
39.94,37,994,3.09,180,293.02,0.08,0.64,123.62,2.17,60.6,177.81,14.35,4,154.0,112.0,154.0,Multan,30.1575,71.5249
40.94,35,993,3.09,130,262.86,0.06,0.51,123.02,2.38,55.25,148.56,12.87,4,150.0,97.0,150.0,Multan,30.1575,71.5249
41.94,31,992,0.0,0,256.03,0.06,0.53,121.92,2.36,54.24,140.72,12.94,4,147.0,93.0,147.0,Multan,30.1575,71.5249
42.94,30,991,3.09,130,256.12,0.07,0.58,122.58,2.33,54.52,138.15,13.46,4,148.0,92.0,148.0,Multan,30.1575,71.5249
42.94,30,991,3.09,180,256.5,0.07,0.68,122.55,2.29,54.6,136.04,14.09,4,148.0,91.0,148.0,Multan,30.1575,71.5249
42.94,30,990,3.09,180,259.36,0.07,0.89,122.79,2.28,54.67,134.01,14.84,4,148.0,90.0,148.0,Multan,30.1575,71.5249
41.94,31,991,3.09,130,285.26,0.09,2.42,117.4,2.36,55.91,132.86,20.56,4,151.0,90.0,151.0,Multan,30.1575,71.5249
41.94,31,991,3.09,180,329.54,0.03,4.71,108.12,2.53,58.02,131.39,28.93,4,152.0,89.0,152.0,Multan,30.1575,71.5249
39.94,37,992,3.09,180,371.26,0.0,5.97,101.36,2.72,60.21,129.3,35.83,4,153.0,88.0,153.0,Multan,30.1575,71.5249
38.94,42,992,2.06,180,395.85,0.0,6.26,97.82,2.86,61.35,125.61,39.52,4,154.0,86.0,154.0,Multan,30.1575,71.5249
38.94,42,993,0.0,0,409.1,0.0,5.75,98.56,2.96,62.92,126.09,39.73,4,155.0,86.0,155.0,Multan,30.1575,71.5249
37.94,41,993,0.0,0,406.59,0.0,4.77,101.52,2.98,64.03,129.84,37.28,4,155.0,88.0,155.0,Multan,30.1575,71.5249
36.94,44,993,3.09,130,372.12,0.0,3.15,106.6,2.88,63.34,137.6,30.88,4,155.0,92.0,155.0,Multan,30.1575,71.5249
36.94,44,993,2.06,130,344.53,0.0,2.4,106.42,2.77,62.5,145.24,27.78,4,155.0,96.0,155.0,Multan,30.1575,71.5249
35.94,44,992,3.09,180,320.04,0.0,2.12,102.11,2.71,61.22,152.19,26.55,4,154.0,99.0,154.0,Multan,30.1575,71.5249
35.94,44,993,5.14,180,296.69,0.0,2.16,95.92,2.76,59.64,158.9,26.8,4,153.0,103.0,153.0,Multan,30.1575,71.5249
34.94,49,993,4.12,130,275.0,0.0,2.3,90.55,2.99,58.7,168.66,27.61,4,153.0,108.0,153.0,Multan,30.1575,71.5249
33.94,52,993,4.12,130,251.86,0.0,2.38,85.24,3.38,57.88,181.66,27.32,4,152.0,114.0,152.0,Multan,30.1575,71.5249
33.94,52,993,4.12,130,251.86,0.0,2.38,85.24,3.38,57.88,181.66,27.32,4,152.0,114.0,152.0,Multan,30.1575,71.5249
33.94,52,993,4.12,130,251.86,0.0,2.38,85.24,3.38,57.88,181.66,27.32,4,152.0,114.0,152.0,Multan,30.1575,71.5249
33.94,52,993,4.12,130,251.86,0.0,2.38,85.24,3.38,57.88,181.66,27.32,4,152.0,114.0,152.0,Multan,30.1575,71.5249
33.94,55,995,3.09,130,228.2,0.0,2.41,78.41,3.84,56.35,195.13,25.15,4,151.0,121.0,151.0,Multan,30.1575,71.5249
33.94,55,995,3.09,130,217.54,0.06,2.8,70.58,4.07,55.13,202.88,23.51,5,149.0,125.0,149.0,Multan,30.1575,71.5249
34.94,52,995,4.12,130,208.12,0.27,2.93,65.94,4.15,53.48,206.68,21.06,5,145.0,127.0,145.0,Multan,30.1575,71.5249
36.94,47,996,2.06,180,185.94,0.33,2.18,69.21,4.11,51.41,205.85,16.75,5,140.0,126.0,140.0,Multan,30.1575,71.5249
38.94,44,996,0.0,0,176.28,0.26,1.6,77.87,3.86,51.42,201.34,15.36,5,140.0,124.0,140.0,Multan,30.1575,71.5249
40.94,40,995,2.06,180,171.98,0.19,1.2,87.74,3.65,53.85,199.88,14.98,4,146.0,123.0,146.0,Multan,30.1575,71.5249
41.94,33,995,3.09,130,177.83,0.06,0.88,101.67,3.86,52.17,170.54,12.08,4,142.0,109.0,142.0,Multan,30.1575,71.5249
42.94,31,994,3.09,130,192.6,0.04,0.79,109.03,3.4,49.83,144.4,11.9,4,136.0,95.0,136.0,Multan,30.1575,71.5249
42.94,33,993,4.12,130,198.87,0.04,0.78,111.21,3.03,48.73,134.36,12.25,4,134.0,90.0,134.0,Multan,30.1575,71.5249
42.94,33,992,3.09,130,207.25,0.04,0.82,114.31,2.82,48.88,130.47,12.9,4,134.0,88.0,134.0,Multan,30.1575,71.5249
42.94,33,991,3.09,130,211.76,0.03,0.93,115.11,2.66,48.6,127.55,13.41,4,133.0,87.0,133.0,Multan,30.1575,71.5249
42.94,33,991,3.09,130,215.83,0.02,1.1,114.98,2.55,48.36,126.46,13.84,4,133.0,86.0,133.0,Multan,30.1575,71.5249
41.94,37,991,3.09,130,252.98,0.02,3.57,103.5,2.56,49.43,127.29,21.79,4,135.0,87.0,135.0,Multan,30.1575,71.5249
40.94,37,991,3.09,130,309.59,0.01,6.75,87.99,2.62,51.06,129.52,32.33,4,139.0,88.0,139.0,Multan,30.1575,71.5249
39.94,42,992,3.09,130,350.55,0.0,8.39,77.55,2.63,52.21,132.98,39.5,4,142.0,90.0,142.0,Multan,30.1575,71.5249
39.94,42,993,3.09,130,362.71,0.0,8.62,70.52,2.49,51.71,135.47,42.31,4,141.0,91.0,141.0,Multan,30.1575,71.5249
38.94,42,994,0.0,0,353.68,0.0,7.88,66.68,2.26,50.68,138.19,41.23,4,138.0,92.0,138.0,Multan,30.1575,71.5249
37.94,44,994,0.0,0,326.22,0.0,6.83,65.14,1.97,48.93,139.84,38.17,4,134.0,93.0,134.0,Multan,30.1575,71.5249
37.94,41,994,2.06,130,242.08,0.0,3.79,75.06,1.5,45.04,146.26,24.87,4,124.0,96.0,124.0,Multan,30.1575,71.5249
36.94,47,994,2.06,130,205.56,0.0,2.58,77.35,1.24,43.25,145.18,21.6,4,120.0,96.0,120.0,Multan,30.1575,71.5249
36.94,47,994,2.06,130,182.09,0.0,1.9,79.27,1.39,42.87,146.46,19.91,4,119.0,96.0,119.0,Multan,30.1575,71.5249
36.94,47,994,3.09,130,166.16,0.0,1.59,82.04,2.58,43.58,150.96,17.93,4,121.0,98.0,121.0,Multan,30.1575,71.5249
36.94,44,994,3.09,130,162.36,0.0,1.7,83.18,4.07,44.94,156.58,17.94,4,124.0,102.0,124.0,Multan,30.1575,71.5249
34.94,52,995,2.06,130,161.38,0.0,1.86,82.13,5.18,45.85,162.01,18.02,4,126.0,104.0,126.0,Multan,30.1575,71.5249
34.94,52,995,2.06,130,161.38,0.0,1.86,82.13,5.18,45.85,162.01,18.02,4,126.0,104.0,126.0,Multan,30.1575,71.5249
34.94,52,995,2.06,130,161.38,0.0,1.86,82.13,5.18,45.85,162.01,18.02,4,126.0,104.0,126.0,Multan,30.1575,71.5249
34.94,52,995,2.06,130,161.38,0.0,1.86,82.13,5.18,45.85,162.01,18.02,4,126.0,104.0,126.0,Multan,30.1575,71.5249
34.94,52,995,3.09,130,159.15,0.0,1.98,78.14,5.71,45.71,165.77,17.44,4,126.0,106.0,126.0,Multan,30.1575,71.5249
33.94,59,996,3.09,130,159.52,0.04,2.28,73.11,5.81,45.31,170.12,16.6,4,125.0,108.0,125.0,Multan,30.1575,71.5249
34.94,55,996,3.09,180,160.78,0.18,2.42,69.36,5.66,44.98,174.22,15.58,4,124.0,111.0,124.0,Multan,30.1575,71.5249
35.94,49,997,3.09,230,159.67,0.27,2.06,70.92,5.28,45.3,178.81,14.37,4,125.0,113.0,125.0,Multan,30.1575,71.5249
36.94,49,997,3.09,270,157.31,0.23,1.54,77.78,4.8,46.68,182.34,13.67,4,129.0,115.0,129.0,Multan,30.1575,71.5249
39.94,44,996,0.0,0,154.58,0.17,1.14,85.88,4.38,49.28,184.79,13.09,4,135.0,116.0,135.0,Multan,30.1575,71.5249
40.94,40,996,2.06,230,161.54,0.07,0.67,98.51,2.98,50.15,157.66,9.53,4,137.0,102.0,137.0,Multan,30.1575,71.5249
41.94,37,995,2.06,130,183.11,0.05,0.52,105.74,2.19,51.23,139.89,9.9,4,140.0,93.0,140.0,Multan,30.1575,71.5249
42.94,38,994,2.06,230,190.66,0.05,0.49,106.8,1.91,51.32,134.09,10.39,4,140.0,90.0,140.0,Multan,30.1575,71.5249
42.94,38,992,4.12,230,195.46,0.04,0.55,107.27,1.77,51.59,132.63,10.82,4,141.0,89.0,141.0,Multan,30.1575,71.5249
42.94,33,992,5.14,230,195.61,0.03,0.6,106.1,1.67,50.68,129.95,11.08,4,138.0,88.0,138.0,Multan,30.1575,71.5249
42.94,36,991,5.14,180,195.65,0.03,0.7,104.84,1.56,49.03,126.16,11.25,4,134.0,86.0,134.0,Multan,30.1575,71.5249
41.94,37,991,4.12,230,199.42,0.02,1.02,102.4,1.45,47.37,122.77,12.41,4,130.0,85.0,130.0,Multan,30.1575,71.5249
40.94,42,992,4.12,230,203.89,0.01,1.39,98.52,1.3,45.62,120.58,14.06,4,126.0,83.0,126.0,Multan,30.1575,71.5249
39.94,44,992,3.09,180,201.22,0.0,1.46,93.91,1.13,42.99,118.43,14.79,4,119.0,82.0,119.0,Multan,30.1575,71.5249
39.94,44,993,0.0,0,186.46,0.0,1.38,87.37,0.97,38.41,113.46,14.27,4,108.0,80.0,108.0,Multan,30.1575,71.5249
39.94,44,994,3.09,180,169.34,0.0,1.35,81.58,0.9,33.72,108.94,13.7,4,96.0,78.0,96.0,Multan,30.1575,71.5249
38.94,47,995,3.09,180,152.58,0.0,1.36,76.52,0.89,29.49,104.76,13.38,4,88.0,76.0,88.0,Multan,30.1575,71.5249
37.94,53,994,4.12,230,135.79,0.0,1.26,71.58,0.86,26.37,102.43,12.91,4,81.0,74.0,81.0,Multan,30.1575,71.5249
36.94,53,993,5.14,230,127.81,0.0,1.12,68.95,0.8,25.85,105.28,13.09,4,80.0,76.0,80.0,Multan,30.1575,71.5249
34.94,59,993,5.14,180,125.78,0.0,1.01,68.18,0.8,27.14,111.34,13.54,4,83.0,79.0,83.0,Multan,30.1575,71.5249
34.94,55,993,6.17,180,126.91,0.0,0.99,68.79,1.15,29.75,119.92,14.05,4,88.0,83.0,88.0,Multan,30.1575,71.5249
33.94,59,993,7.2,230,129.35,0.0,1.09,69.7,1.95,33.03,130.92,14.65,4,95.0,89.0,95.0,Multan,30.1575,71.5249
33.94,59,993,7.2,230,132.2,0.0,1.27,69.23,2.96,36.32,143.27,15.09,4,103.0,95.0,103.0,Multan,30.1575,71.5249
33.94,59,993,7.2,230,132.2,0.0,1.27,69.23,2.96,36.32,143.27,15.09,4,103.0,95.0,103.0,Multan,30.1575,71.5249
33.94,59,993,7.2,230,132.2,0.0,1.27,69.23,2.96,36.32,143.27,15.09,4,103.0,95.0,103.0,Multan,30.1575,71.5249
33.94,59,993,7.2,230,132.2,0.0,1.27,69.23,2.96,36.32,143.27,15.09,4,103.0,95.0,103.0,Multan,30.1575,71.5249
32.94,62,994,7.2,230,134.5,0.0,1.51,66.68,3.81,38.93,155.3,15.0,4,109.0,101.0,109.0,Multan,30.1575,71.5249
32.94,62,995,7.2,230,137.69,0.04,1.81,62.88,4.27,40.84,166.6,14.13,4,114.0,107.0,114.0,Multan,30.1575,71.5249
32.94,62,996,7.2,230,140.9,0.18,1.88,60.55,4.29,41.99,174.49,12.87,4,117.0,111.0,117.0,Multan,30.1575,71.5249
35.94,52,995,8.23,230,140.89,0.24,1.55,62.73,3.92,42.6,177.78,11.62,4,118.0,112.0,118.0,Multan,30.1575,71.5249
36.94,53,995,7.2,230,139.59,0.2,1.15,68.71,3.41,42.99,175.89,10.99,4,119.0,111.0,119.0,Multan,30.1575,71.5249
36.94,53,995,7.2,230,137.64,0.14,0.82,75.19,2.9,43.27,169.51,10.43,4,120.0,108.0,120.0,Multan,30.1575,71.5249
37.94,50,995,7.2,270,141.49,0.05,0.53,84.72,1.83,40.72,136.8,8.06,4,114.0,91.0,114.0,Multan,30.1575,71.5249
38.94,47,994,7.2,230,146.63,0.03,0.46,88.6,1.37,40.1,125.15,7.95,4,112.0,86.0,112.0,Multan,30.1575,71.5249
