temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
15.09,21,1018,1.6,20,2510.07,0.11,28.1,24.32,3.99,388.83,438.2,12.67,5,426.0,318.0,426.0,Multan,30.1575,71.5249
15.65,20,1019,1.47,43,2830.51,2.07,38.04,8.49,4.17,411.85,456.21,10.01,5,442.0,340.0,442.0,Multan,30.1575,71.5249
7.94,93,1020,0.0,0,2990.72,8.83,33.59,10.82,3.93,414.8,459.97,7.85,5,443.0,345.0,443.0,Multan,30.1575,71.5249
7.94,93,1020,0.0,0,3044.13,10.73,29.13,26.46,4.05,414.97,474.11,7.54,5,444.0,363.0,444.0,Multan,30.1575,71.5249
12.94,76,1020,0.0,0,3017.43,7.38,29.13,58.65,4.29,426.24,494.69,10.01,5,451.0,388.0,451.0,Multan,30.1575,71.5249
15.94,55,1019,0.0,0,1562.12,1.15,10.37,144.48,7.99,289.25,330.23,3.07,5,339.0,188.0,339.0,Multan,30.1575,71.5249
23.35,13,1017,1.3,17,1308.44,0.73,7.28,160.22,8.58,252.71,289.73,2.56,5,303.0,168.0,303.0,Multan,30.1575,71.5249
18.94,39,1016,0.0,0,1134.87,0.52,5.74,158.79,7.99,220.2,253.85,2.75,5,270.0,150.0,270.0,Multan,30.1575,71.5249
19.94,34,1016,2.06,130,1201.63,0.92,10.97,134.47,6.44,218.47,252.93,6.84,5,268.0,149.0,268.0,Multan,30.1575,71.5249
19.94,34,1015,2.06,360,1495.36,1.33,21.59,101.57,5.36,236.85,276.9,13.17,5,287.0,162.0,287.0,Multan,30.1575,71.5249
21.61,17,1015,2.14,345,1762.39,0.58,34.62,70.81,5.36,252.13,297.77,18.24,5,303.0,172.0,303.0,Multan,30.1575,71.5249
18.94,45,1016,0.0,0,1976.01,0.02,42.84,48.64,5.54,265.69,317.62,21.03,5,316.0,182.0,316.0,Multan,30.1575,71.5249
15.94,55,1016,0.0,0,2136.23,0.02,45.24,34.33,5.54,283.33,342.71,19.51,5,334.0,194.0,334.0,Multan,30.1575,71.5249
14.94,58,1016,0.0,0,2243.04,0.1,45.24,23.96,5.3,303.69,370.05,15.45,5,354.0,223.0,354.0,Multan,30.1575,71.5249
13.94,72,1016,0.0,0,2243.04,0.17,39.76,18.6,4.47,313.6,383.46,11.4,5,364.0,242.0,364.0,Multan,30.1575,71.5249
10.94,76,1016,0.0,0,2216.34,0.26,35.3,15.56,3.99,318.59,389.84,9.88,5,368.0,251.0,368.0,Multan,30.1575,71.5249
10.94,76,1016,0.0,0,2189.64,0.33,33.24,13.05,3.37,318.59,388.21,8.49,5,368.0,249.0,368.0,Multan,30.1575,71.5249
9.94,81,1016,0.0,0,2109.53,0.21,30.5,12.34,2.35,310.29,373.63,6.71,5,360.0,228.0,360.0,Multan,30.1575,71.5249
9.94,81,1015,0.0,0,2002.72,0.07,25.7,13.95,1.7,302.12,358.93,6.27,5,352.0,207.0,352.0,Multan,30.1575,71.5249
9.94,100,1015,0.0,0,1976.01,0.04,21.59,15.38,1.46,300.01,352.28,6.65,5,350.0,199.0,350.0,Multan,30.1575,71.5249
7.94,87,1014,0.0,0,2002.72,0.04,19.54,15.2,1.49,306.85,356.79,7.41,5,357.0,204.0,357.0,Multan,30.1575,71.5249
14.09,27,1014,2.21,59,2029.42,0.06,18.51,13.95,1.56,314.65,363.43,8.04,5,365.0,213.0,365.0,Multan,30.1575,71.5249
7.94,87,1014,0.0,0,2082.82,0.1,18.34,12.34,1.67,327.4,373.85,8.87,5,377.0,228.0,377.0,Multan,30.1575,71.5249
7.94,87,1014,0.0,0,2082.82,0.1,18.34,12.34,1.67,327.4,373.85,8.87,5,377.0,228.0,377.0,Multan,30.1575,71.5249
7.94,87,1014,0.0,0,2082.82,0.1,18.34,12.34,1.67,327.4,373.85,8.87,5,377.0,228.0,377.0,Multan,30.1575,71.5249
7.94,87,1014,0.0,0,2082.82,0.1,18.34,12.34,1.67,327.4,373.85,8.87,5,377.0,228.0,377.0,Multan,30.1575,71.5249
7.94,81,1014,0.0,0,2162.93,0.22,18.85,10.01,1.76,340.7,379.23,8.61,5,390.0,236.0,390.0,Multan,30.1575,71.5249
6.94,87,1015,0.0,0,2349.85,1.37,22.28,5.05,2.32,358.59,393.98,7.66,5,406.0,257.0,406.0,Multan,30.1575,71.5249
6.94,87,1015,0.0,0,2616.88,4.75,26.05,1.61,2.8,374.69,408.16,6.71,5,417.0,277.0,417.0,Multan,30.1575,71.5249
6.94,81,1016,0.0,0,2723.69,8.49,23.31,4.78,2.92,379.16,413.5,5.38,5,420.0,285.0,420.0,Multan,30.1575,71.5249
9.94,81,1016,0.0,0,2750.4,9.72,21.08,14.66,3.16,380.39,420.32,5.76,5,421.0,295.0,421.0,Multan,30.1575,71.5249
12.94,67,1016,2.06,50,2670.29,6.59,21.93,37.91,3.43,378.85,421.46,7.54,5,420.0,296.0,420.0,Multan,30.1575,71.5249
15.94,59,1015,2.06,50,2082.82,1.03,11.14,133.04,9.18,350.85,386.48,4.31,5,401.0,246.0,401.0,Multan,30.1575,71.5249
16.94,55,1013,2.06,360,1869.2,0.58,7.63,158.79,9.78,327.39,366.04,5.26,5,377.0,217.0,377.0,Multan,30.1575,71.5249
18.94,48,1012,3.09,50,1668.93,0.43,6.25,161.65,9.3,299.36,344.3,6.21,5,349.0,195.0,349.0,Multan,30.1575,71.5249
18.94,52,1012,3.09,360,1588.82,0.66,10.11,137.33,7.21,270.38,325.57,9.63,5,321.0,186.0,321.0,Multan,30.1575,71.5249
23.47,15,1012,3.25,4,1708.98,0.88,18.68,104.43,5.42,263.54,331.06,14.57,5,314.0,189.0,314.0,Multan,30.1575,71.5249
21.03,18,1012,2.53,10,1895.9,0.37,29.13,76.53,4.89,263.47,341.01,18.75,5,314.0,194.0,314.0,Multan,30.1575,71.5249
16.94,55,1013,0.0,0,2082.82,0.01,37.01,55.79,4.83,270.94,356.63,21.53,5,321.0,203.0,321.0,Multan,30.1575,71.5249
14.94,67,1014,0.0,0,2269.74,0.0,42.16,40.77,4.89,283.34,377.41,21.28,5,334.0,233.0,334.0,Multan,30.1575,71.5249
14.94,67,1015,0.0,0,2536.77,0.03,46.61,29.33,4.95,299.14,398.8,18.49,5,349.0,264.0,349.0,Multan,30.1575,71.5249
